gen,s_mean,avg_fitness,agent_count,avg_lz,archive_size
0,0.0,0.0,40,0.0,0
1,0.0,0.0,40,0.0,14
2,0.0,0.0,40,0.0,16
3,0.0,0.0,40,0.0,19
4,0.0,0.0,40,0.0,19
5,0.0,0.0,40,0.0,19
6,0.0,0.0,40,0.0,20
7,0.0,0.0,40,0.0,20
8,0.0,0.0,40,0.0,20
9,0.0,0.0,40,0.0,21
10,0.0,0.0,40,0.0,21
11,0.0,0.0,40,0.0,21
12,0.0,0.0,40,0.0,21
13,0.0,0.0,40,0.0,21
14,0.0,0.0,40,0.0,21
15,0.0,0.0,40,0.0,21
16,0.0,0.0,40,0.0,21
17,0.0,0.0,40,0.0,21
18,0.0,0.0,40,0.0,21
19,0.0,0.0,40,0.0,21
20,0.0,0.0,40,0.0,21
21,0.0,0.0,40,0.0,21
22,0.0,0.0,40,0.0,21
23,0.0,0.0,40,0.0,21
24,0.0,0.0,40,0.0,21
25,0.0,0.0,40,0.0,23
26,0.0,0.0,40,0.0,24
27,0.0,0.0,40,0.0,24
28,0.0,0.0,40,0.0,24
29,0.0,0.0,40,0.0,24
30,0.0,0.0,40,0.0,24
31,0.0,0.0,40,0.0,25
32,0.0,0.0,40,0.0,26
33,0.0,0.0,40,0.0,27
34,0.0,0.0,40,0.0,27
35,0.0,0.0,40,0.0,27
36,0.0,0.0,40,0.0,27
37,0.0,0.0,40,0.0,27
38,0.0,0.0,40,0.0,27
39,0.0,0.0,40,0.0,27
40,0.0,0.0,40,0.0,27
41,0.0,0.0,40,0.0,27
42,0.0,0.0,40,0.0,27
43,0.0,0.0,40,0.0,27
44,0.0,0.0,40,0.0,27
45,0.0,0.0,40,0.0,29
46,0.0,0.0,40,0.0,29
47,0.0,0.0,40,0.0,30
48,0.0,0.0,40,0.0,30
49,0.0,0.0,40,0.0,30
50,0.0,0.0,40,0.0,30
51,0.0,0.0,40,0.0,30
52,0.0,0.0,40,0.0,30
53,0.0,0.0,40,0.0,30
54,0.0,0.0,40,0.0,30
55,0.0,0.0,40,0.0,30
56,0.0,0.0,40,0.0,30
57,0.0,0.0,40,0.0,30
58,0.0,0.0,40,0.0,30
59,0.0,0.0,40,0.0,30
60,0.0,0.0,40,0.0,30
61,0.0,0.0,40,0.0,30
62,0.0,0.0,40,0.0,30
63,0.0,0.0,40,0.0,30
64,0.0,0.0,40,0.0,30
65,0.0,0.0,40,0.0,31
66,0.0,0.0,40,0.0,33
67,0.0,0.0,40,0.0,33
68,0.0,0.0,40,0.0,35
69,0.0,0.0,40,0.0,36
70,0.0,0.0,40,0.0,38
71,0.0,0.0,40,0.0,38
72,0.0,0.0,40,0.0,39
73,0.0,0.0,40,0.0,39
74,0.0,0.0,40,0.0,39
75,0.0,0.0,40,0.0,39
76,0.0,0.0,40,0.0,39
77,0.0,0.0,40,0.0,39
78,0.0,0.0,40,0.0,39
79,0.0,0.0,40,0.0,39
80,0.0,0.0,40,0.0,39
81,0.0,0.0,40,0.0,39
82,0.0,0.0,40,0.0,39
83,0.0,0.0,40,0.0,39
84,0.0,0.0,40,0.0,39
85,0.0,0.0,40,0.0,39
86,0.0,0.0,40,0.0,39
87,0.0,0.0,40,0.0,39
88,0.0,0.0,40,0.0,39
89,0.0,0.0,40,0.0,39
90,0.0,0.0,40,0.0,39
91,0.0,0.0,40,0.0,39
92,0.0,0.0,40,0.0,39
93,0.0,0.0,40,0.0,39
94,0.0,0.0,40,0.0,39
95,0.0,0.0,40,0.0,39
96,0.0,0.0,40,0.0,39
97,0.0,0.0,40,0.0,39
98,0.0,0.0,40,0.0,39
99,0.0,0.0,40,0.0,39
100,0.0,0.0,40,0.0712,39
101,0.0,0.0,40,0.0712,39
102,0.0,0.0,40,0.0712,39
103,0.0,0.0,40,0.0712,39
104,0.0,0.0,40,0.0712,40
105,0.0,0.0,40,0.0712,40
106,0.0,0.0,40,0.0712,40
107,0.0,0.0,40,0.0712,40
108,0.0,0.0,40,0.0712,40
109,0.0,0.0,40,0.0712,40
110,0.0,0.0,40,0.0712,40
111,0.0,0.0,40,0.0712,40
112,0.0,0.0,40,0.0712,40
113,0.0,0.0,40,0.0712,40
114,0.0,0.0,40,0.0712,40
115,0.0,0.0,40,0.0712,40
116,0.0,0.0,40,0.0712,40
117,0.0,0.0,40,0.0712,40
118,0.0,0.0,40,0.0712,40
119,0.0,0.0,40,0.0712,40
120,0.0,0.0,40,0.0712,40
121,0.0,0.0,40,0.0712,40
122,0.0,0.0,40,0.0712,40
123,0.0,0.0,40,0.0712,40
124,0.0,0.0,40,0.0712,40
125,0.0,0.0,40,0.0712,40
126,0.0,0.0,40,0.0712,40
127,0.0,0.0,40,0.0712,40
128,0.0,0.0,40,0.0712,40
129,0.0,0.0,40,0.0712,40
130,0.0,0.0,40,0.0712,40
131,0.0,0.0,40,0.0712,40
132,0.0,0.0,40,0.0712,40
133,0.0,0.0,40,0.0712,40
134,0.0,0.0,40,0.0712,40
135,0.0,0.0,40,0.0712,40
136,0.0,0.0,40,0.0712,40
137,0.0,0.0,40,0.0712,40
138,0.0,0.0,40,0.0712,40
139,0.0,0.0,40,0.0712,41
140,0.0,0.0,40,0.0712,41
141,0.0,0.0,40,0.0712,42
142,0.0,0.0,40,0.0712,42
143,0.0,0.0,40,0.0712,42
144,0.0,0.0,40,0.0712,42
145,0.0,0.0,40,0.0712,42
146,0.0,0.0,40,0.0712,42
147,0.0,0.0,40,0.0712,42
148,0.0,0.0,40,0.0712,42
149,0.0,0.0,40,0.0712,42
150,0.0,0.0,40,0.0712,42
151,0.0,0.0,40,0.0712,42
152,0.0,0.0,40,0.0712,42
153,0.0,0.0,40,0.0712,42
154,0.0,0.0,40,0.0712,42
155,0.0,0.0,40,0.0712,42
156,0.0,0.0,40,0.0712,42
157,0.0,0.0,40,0.0712,42
158,0.0,0.0,40,0.0712,42
159,0.0,0.0,40,0.0712,42
160,0.0,0.0,40,0.0712,42
161,0.0,0.0,40,0.0712,42
162,0.0,0.0,40,0.0712,42
163,0.0,0.0,40,0.0712,42
164,0.0,0.0,40,0.0712,42
165,0.0,0.0,40,0.0712,42
166,0.0,0.0,40,0.0712,42
167,0.0,0.0,40,0.0712,42
168,0.0,0.0,40,0.0712,42
169,0.0,0.0,40,0.0712,42
170,0.0,0.0,40,0.0712,42
171,0.0,0.0,40,0.0712,42
172,0.0,0.0,40,0.0712,42
173,0.0,0.0,40,0.0712,42
174,0.0,0.0,40,0.0712,42
175,0.0,0.0,40,0.0712,42
176,0.0,0.0,40,0.0712,42
177,0.0,0.0,40,0.0712,42
178,0.0,0.0,40,0.0712,42
179,0.0,0.0,40,0.0712,42
180,0.0,0.0,40,0.0712,42
181,0.0,0.0,40,0.0712,42
182,0.0,0.0,40,0.0712,42
183,0.0,0.0,40,0.0712,42
184,0.0,0.0,40,0.0712,42
185,0.0,0.0,40,0.0712,42
186,0.0,0.0,40,0.0712,42
187,0.0,0.0,40,0.0712,42
188,0.0,0.0,40,0.0712,42
189,0.0,0.0,40,0.0712,42
190,0.0,0.0,40,0.0712,42
191,0.0,0.0,40,0.0712,42
192,0.0,0.0,40,0.0712,42
193,0.0,0.0,40,0.0712,42
194,0.0,0.0,40,0.0712,42
195,0.0,0.0,40,0.0712,43
