gen,s_mean,avg_fitness,agent_count,avg_lz,archive_size
0,0.0,0.0,40,0.0,0
1,0.012878059,0.0,40,0.0,12
2,0.031117791,0.0,40,0.0,12
3,0.048374943,0.0,40,0.0,12
4,0.06386597,0.0,40,0.0,14
5,0.083200894,0.0,40,0.0,14
6,0.0949747,0.0,40,0.0,15
7,0.11192844,0.0,40,0.0,17
8,0.12342134,0.0,40,0.0,19
9,0.13412209,0.0,40,0.0,21
10,0.14590283,0.0,40,0.0,24
11,0.15597336,0.0,40,0.0,24
12,0.16602832,0.0,40,0.0,25
13,0.17857285,0.0,40,0.0,26
14,0.18331215,0.0,40,0.0,26
15,0.19616838,0.0,40,0.0,26
16,0.2037728,0.0,40,0.0,29
17,0.21039492,0.0,40,0.0,29
18,0.22401324,0.0,40,0.0,29
19,0.2319627,0.0,40,0.0,30
20,0.24311519,0.0,40,0.0,30
21,0.25301138,0.0,40,0.0,31
22,0.26310942,0.0,40,0.0,31
23,0.26543632,0.0,40,0.0,31
24,0.271549,0.0,40,0.0,31
25,0.27884594,0.0,40,0.0,32
26,0.28700343,0.0,40,0.0,33
27,0.29437405,0.0,40,0.0,34
28,0.30007344,0.0,40,0.0,36
29,0.3080083,0.0,40,0.0,38
30,0.31705445,0.0,40,0.0,41
31,0.32021812,0.0,40,0.0,45
32,0.32769608,0.0,40,0.0,45
33,0.33310392,0.0,40,0.0,47
34,0.33631498,0.0,40,0.0,50
35,0.3402774,0.0,40,0.0,52
36,0.3434432,0.0,40,0.0,52
37,0.34870997,0.0,40,0.0,54
38,0.3531495,0.0,40,0.0,55
39,0.3562478,0.0,40,0.0,57
40,0.35877645,0.0,40,0.0,62
41,0.36696616,0.0,40,0.0,64
42,0.3705977,0.0,40,0.0,64
43,0.3751497,0.0,40,0.0,64
44,0.382828,0.0,40,0.0,64
45,0.38503823,0.0,40,0.0,64
46,0.38920924,0.0,40,0.0,65
47,0.3927626,0.0,40,0.0,67
48,0.39611757,0.0,40,0.0,68
49,0.40309176,0.0,40,0.0,70
50,0.40360475,0.0,40,0.0,71
51,0.409865,0.0,40,0.0,71
52,0.41304365,0.0,40,0.0,72
53,0.41632235,0.0,40,0.0,72
54,0.41847154,0.0,40,0.0,72
55,0.4170286,0.0,40,0.0,72
56,0.41613021,0.0,40,0.0,73
57,0.41384032,0.0,40,0.0,73
58,0.41681552,0.0,40,0.0,73
59,0.41639292,0.0,40,0.0,73
60,0.418248,0.0,40,0.0,73
61,0.42716685,0.0,40,0.0,74
62,0.42495558,0.0,40,0.0,74
63,0.42976758,0.0,40,0.0,75
64,0.42907593,0.0,40,0.0,75
65,0.43394282,0.0,40,0.0,75
66,0.43703756,0.0,40,0.0,75
67,0.43643856,0.0,40,0.0,75
68,0.43535605,0.0,40,0.0,75
69,0.43501806,0.0,40,0.0,75
70,0.43713164,0.0,40,0.0,75
71,0.43761092,0.0,40,0.0,75
72,0.43821064,0.0,40,0.0,75
73,0.4396416,0.0,40,0.0,75
74,0.44164258,0.0,40,0.0,75
75,0.44405416,0.0,40,0.0,76
76,0.4463502,0.0,40,0.0,76
77,0.44848144,0.0,40,0.0,76
78,0.45179254,0.0,40,0.0,77
79,0.45649028,0.0,40,0.0,77
80,0.45772275,0.0,40,0.0,77
81,0.460206,0.0,40,0.0,77
82,0.45965543,0.0,40,0.0,77
83,0.46124205,0.0,40,0.0,78
84,0.4602762,0.0,40,0.0,78
85,0.46117902,0.0,40,0.0,78
86,0.46487138,0.0,40,0.0,78
87,0.46701854,0.0,40,0.0,78
88,0.46816114,0.0,40,0.0,78
89,0.4676672,0.0,40,0.0,78
90,0.47295082,0.0,40,0.0,79
