generation,gac,epc,nnd
50,3.06,0.0,0.0
100,3.0833333333333335,0.0,0.375
150,1.96,0.0,0.5641025641025641
200,2.673469387755102,0.0,0.5424836601307189
250,3.0869565217391304,0.0,0.41666666666666663
300,2.8979591836734695,0.0,0.4351851851851852
350,2.16,0.0,0.4027777777777778
400,1.7,0.0,0.4027777777777778
450,2.88,0.0,0.4444444444444444
500,2.26,0.0,0.41666666666666663
550,2.0,0.0,0.41666666666666663
600,2.0208333333333335,0.0,0.37777777777777777
650,2.46,0.0,0.4814814814814815
700,1.74,0.0,0.4343434343434343
750,2.3,0.0,0.4888888888888889
800,2.08,0.0,0.37222222222222223
850,2.32,0.0,0.4343434343434343
900,2.1914893617021276,0.0,0.36507936507936506
950,2.723404255319149,0.0,0.5959595959595959
1000,2.32,0.0,0.4523809523809524
1050,1.8,0.0,0.40404040404040403
1100,2.4489795918367347,0.0,0.5833333333333334
1150,2.3,0.0,0.5185185185185185
1200,1.64,0.0,0.546875
1250,2.38,0.0,0.46464646464646464
1300,2.36,0.0,0.38888888888888884
1350,2.04,0.0,0.4652777777777778
1400,2.4693877551020407,0.0,0.45925925925925926
1450,2.72,0.0,0.47777777777777775
1500,1.7916666666666667,0.0,0.4166666666666667
1550,1.78,0.0,0.5972222222222222
1600,1.6,0.0,0.42857142857142855
1650,2.56,0.0,0.5213675213675214
1700,2.24,0.0,0.49572649572649574
1750,2.8,0.0,0.47474747474747475
1800,2.28,0.0,0.48
1850,1.574468085106383,0.0,0.40404040404040403
1900,2.2,0.0,0.5858585858585859
1950,3.0434782608695654,0.0,0.5252525252525253
2000,2.5,0.0,0.49074074074074076
2050,2.54,0.0,0.38562091503267976
2100,2.8181818181818183,0.0,0.46464646464646464
2150,2.6875,0.0,0.4444444444444444
2200,2.1,0.0,0.4074074074074074
2250,2.127659574468085,0.0,0.4537037037037037
2300,2.106382978723404,0.0,0.3790849673202614
2350,2.0408163265306123,0.0,0.4444444444444444
2400,2.1702127659574466,0.0,0.4305555555555555
2450,1.82,0.0,0.41025641025641024
2500,1.94,0.0,0.37777777777777777
2550,2.510204081632653,0.0,0.6031746031746031
2600,3.16,0.0,0.4017094017094017
2650,2.1458333333333335,0.0,0.375
2700,2.28,0.0,0.3333333333333333
2750,2.08,0.0,0.4567901234567901
2800,2.125,0.0,0.37962962962962965
2850,2.0,0.0,0.6172839506172839
2900,2.84,0.0,0.6838235294117647
2950,2.12,0.0,0.47474747474747475
3000,2.08,0.0,0.5833333333333334
3050,2.34,0.0,0.4444444444444444
3100,1.75,0.0,0.41666666666666663
3150,2.88,0.0,0.5444444444444444
3200,3.5510204081632653,0.0,0.4722222222222222
3250,2.8125,0.0,0.5555555555555556
3300,2.375,0.0,0.4666666666666667
3350,2.7708333333333335,0.0,0.4722222222222222
3400,2.25,0.0,0.47474747474747475
3450,3.4489795918367347,0.0,0.4962962962962963
3500,3.5555555555555554,0.0,0.4444444444444444
3550,2.5306122448979593,0.0,0.45454545454545453
3600,3.04,0.0,0.5050505050505051
3650,3.4489795918367347,0.0,0.5811965811965811
3700,2.2244897959183674,0.0,0.42063492063492064
3750,2.183673469387755,0.0,0.4444444444444444
3800,2.9782608695652173,0.0,0.5032679738562091
3850,3.1875,0.0,0.5
3900,2.64,0.0,0.5952380952380952
3950,2.0,0.0,0.45555555555555555
4000,2.68,0.0,0.5833333333333334
4050,2.306122448979592,0.0,0.5032679738562091
4100,2.06,0.0,0.4152046783625731
4150,2.04,0.0,0.4444444444444444
4200,2.8541666666666665,0.0,0.49206349206349204
4250,2.6595744680851063,0.0,0.4888888888888889
4300,2.92,0.0,0.42063492063492064
4350,3.5555555555555554,0.0,0.611111111111111
4400,2.6382978723404253,0.0,0.5959595959595959
4450,2.7551020408163267,0.0,0.5317460317460317
4500,2.75,0.0,0.5
4550,2.82,0.0,0.5046296296296297
4600,3.604651162790698,0.0,0.42735042735042733
4650,1.8775510204081634,0.0,0.5555555555555556
4700,3.111111111111111,0.0,0.5111111111111111
4750,2.88,0.0,0.4949494949494949
4800,2.9791666666666665,0.0,0.5888888888888889
4850,2.5714285714285716,0.0,0.5069444444444444
4900,2.510204081632653,0.0,0.3851851851851852
4950,3.3404255319148937,0.0,0.4444444444444444
5000,2.0,0.0,0.6298701298701298
5050,2.489795918367347,0.0,0.41975308641975306
5100,2.3636363636363638,0.0,0.46153846153846156
5150,3.0,0.0,0.4700854700854701
5200,3.2083333333333335,0.0,0.49382716049382713
5250,3.0,0.0,0.47474747474747475
5300,2.857142857142857,0.0,0.47058823529411764
5350,2.979591836734694,0.0,0.49707602339181284
5400,3.0,0.0,0.3950617283950617
5450,2.6666666666666665,0.0,0.5079365079365079
5500,2.34,0.0,0.3888888888888889
5550,2.32,0.0,0.48148148148148145
5600,3.6875,0.0,0.625
5650,3.25,0.0,0.4666666666666667
5700,3.5208333333333335,0.0,0.40476190476190477
5750,3.38,0.0,0.5277777777777778
5800,3.282608695652174,0.0,0.4722222222222222
5850,3.311111111111111,0.0,0.6388888888888888
5900,3.276595744680851,0.0,0.6018518518518519
5950,1.96,0.0,0.5490196078431373
6000,2.857142857142857,0.0,0.45833333333333337
6050,3.111111111111111,0.0,0.5238095238095238
6100,2.5510204081632653,0.0,0.4444444444444444
6150,2.18,0.0,0.5416666666666666
6200,2.8333333333333335,0.0,0.578125
6250,2.3469387755102042,0.0,0.48148148148148145
6300,1.9,0.0,0.3263888888888889
6350,3.3617021276595747,0.0,0.5222222222222223
6400,2.72,0.0,0.48148148148148145
6450,3.7142857142857144,0.0,0.5092592592592593
6500,1.64,0.0,0.37037037037037035
6550,2.8085106382978724,0.0,0.5317460317460317
6600,1.816326530612245,0.0,0.4333333333333333
6650,3.2708333333333335,0.0,0.5847953216374269
6700,2.12,0.0,0.4848484848484848
6750,2.5,0.0,0.5666666666666667
6800,2.891304347826087,0.0,0.5751633986928104
6850,3.1333333333333333,0.0,0.4444444444444444
6900,2.8,0.0,0.375
6950,2.86,0.0,0.6868686868686869
7000,2.64,0.0,0.4652777777777778
7050,2.7291666666666665,0.0,0.5777777777777777
7100,2.52,0.0,0.4513888888888889
7150,2.1,0.0,0.4567901234567901
7200,2.5625,0.0,0.36666666666666664
7250,2.877551020408163,0.0,0.5055555555555555
7300,2.326530612244898,0.0,0.4444444444444445
7350,2.12,0.0,0.5681818181818182
7400,2.44,0.0,0.5648148148148148
7450,3.225,0.0,0.5454545454545454
7500,3.1702127659574466,0.0,0.48148148148148145
7550,2.16,0.0,0.40404040404040403
7600,2.48,0.0,0.4583333333333333
7650,2.625,0.0,0.5925925925925926
7700,2.6530612244897958,0.0,0.5416666666666666
7750,2.4468085106382977,0.0,0.4666666666666667
7800,1.82,0.0,0.35802469135802467
7850,2.7708333333333335,0.0,0.5042735042735043
7900,2.3125,0.0,0.3418803418803419
7950,2.0,0.0,0.5061728395061729
8000,1.92,0.0,0.4375
8050,2.42,0.0,0.452991452991453
8100,2.489795918367347,0.0,0.4722222222222222
8150,1.9791666666666667,0.0,0.45454545454545453
8200,2.0,0.0,0.38596491228070173
8250,1.76,0.0,0.36507936507936506
8300,1.8,0.0,0.4222222222222222
8350,1.68,0.0,0.425
8400,2.0,0.0,0.3504273504273504
8450,1.7,0.0,0.37037037037037035
8500,2.4166666666666665,0.0,0.42424242424242425
8550,2.42,0.0,0.43333333333333335
8600,2.061224489795918,0.0,0.4222222222222222
8650,3.617021276595745,0.0,0.5888888888888889
8700,2.36,0.0,0.5833333333333334
8750,2.1914893617021276,0.0,0.5
8800,2.26,0.0,0.4391534391534392
8850,1.92,0.0,0.3259259259259259
8900,1.68,0.0,0.5079365079365079
8950,1.92,0.0,0.55
9000,2.08,0.0,0.4444444444444444
9050,2.488888888888889,0.0,0.5111111111111111
9100,2.0416666666666665,0.0,0.42063492063492064
9150,3.2448979591836733,0.0,0.5555555555555556
9200,2.18,0.0,0.38095238095238093
9250,2.08,0.0,0.36507936507936506
9300,1.62,0.0,0.5
9350,2.34,0.0,0.5192307692307693
9400,2.02,0.0,0.4722222222222222
9450,2.1956521739130435,0.0,0.3939393939393939
9500,2.0851063829787235,0.0,0.6153846153846154
9550,2.75,0.0,0.4444444444444444
9600,2.6,0.0,0.35555555555555557
9650,3.272727272727273,0.0,0.47407407407407404
9700,2.8541666666666665,0.0,0.452991452991453
9750,3.18,0.0,0.5079365079365079
9800,2.68,0.0,0.5462962962962963
9850,2.48,0.0,0.4615384615384615
9900,2.14,0.0,0.6464646464646464
9950,1.88,0.0,0.4444444444444444
10000,2.76,0.0,0.5111111111111111
