gen,s_mean,avg_fitness,agent_count,avg_lz,archive_size
0,0.0,0.0,40,0.0,0
1,0.0,0.0,40,0.0,15
2,0.0,0.0,40,0.0,15
3,0.0,0.0,40,0.0,16
4,0.0,0.0,40,0.0,17
5,0.0,0.0,40,0.0,17
6,0.0,0.0,40,0.0,17
7,0.0,0.0,40,0.0,17
8,0.0,0.0,40,0.0,17
9,0.0,0.0,40,0.0,17
10,0.0,0.0,40,0.0,17
11,0.0,0.0,40,0.0,17
12,0.0,0.0,40,0.0,18
13,0.0,0.0,40,0.0,19
14,0.0,0.0,40,0.0,19
15,0.0,0.0,40,0.0,19
16,0.0,0.0,40,0.0,20
17,0.0,0.0,40,0.0,21
18,0.0,0.0,40,0.0,22
19,0.0,0.0,40,0.0,23
20,0.0,0.0,40,0.0,24
21,0.0,0.0,40,0.0,24
22,0.0,0.0,40,0.0,25
23,0.0,0.0,40,0.0,25
24,0.0,0.0,40,0.0,25
25,0.0,0.0,40,0.0,25
26,0.0,0.0,40,0.0,25
27,0.0,0.0,40,0.0,25
28,0.0,0.0,40,0.0,26
29,0.0,0.0,40,0.0,26
30,0.0,0.0,40,0.0,26
31,0.0,0.0,40,0.0,26
32,0.0,0.0,40,0.0,26
33,0.0,0.0,40,0.0,26
34,0.0,0.0,40,0.0,26
35,0.0,0.0,40,0.0,26
36,0.0,0.0,40,0.0,27
37,0.0,0.0,40,0.0,28
38,0.0,0.0,40,0.0,29
39,0.0,0.0,40,0.0,29
40,0.0,0.0,40,0.0,31
41,0.0,0.0,40,0.0,31
42,0.0,0.0,40,0.0,31
43,0.0,0.0,40,0.0,31
44,0.0,0.0,40,0.0,31
45,0.0,0.0,40,0.0,31
46,0.0,0.0,40,0.0,31
47,0.0,0.0,40,0.0,31
48,0.0,0.0,40,0.0,35
49,0.0,0.0,40,0.0,35
50,0.0,0.0,40,0.0,35
51,0.0,0.0,40,0.0,35
52,0.0,0.0,40,0.0,35
53,0.0,0.0,40,0.0,35
54,0.0,0.0,40,0.0,35
55,0.0,0.0,40,0.0,35
56,0.0,0.0,40,0.0,35
57,0.0,0.0,40,0.0,35
58,0.0,0.0,40,0.0,35
59,0.0,0.0,40,0.0,35
60,0.0,0.0,40,0.0,35
61,0.0,0.0,40,0.0,35
62,0.0,0.0,40,0.0,36
63,0.0,0.0,40,0.0,36
64,0.0,0.0,40,0.0,36
65,0.0,0.0,40,0.0,36
66,0.0,0.0,40,0.0,36
67,0.0,0.0,40,0.0,36
68,0.0,0.0,40,0.0,36
69,0.0,0.0,40,0.0,36
70,0.0,0.0,40,0.0,36
71,0.0,0.0,40,0.0,36
72,0.0,0.0,40,0.0,36
73,0.0,0.0,40,0.0,36
74,0.0,0.0,40,0.0,36
75,0.0,0.0,40,0.0,36
76,0.0,0.0,40,0.0,36
77,0.0,0.0,40,0.0,36
78,0.0,0.0,40,0.0,36
79,0.0,0.0,40,0.0,36
80,0.0,0.0,40,0.0,36
81,0.0,0.0,40,0.0,36
82,0.0,0.0,40,0.0,36
83,0.0,0.0,40,0.0,36
84,0.0,0.0,40,0.0,36
85,0.0,0.0,40,0.0,36
86,0.0,0.0,40,0.0,36
87,0.0,0.0,40,0.0,36
88,0.0,0.0,40,0.0,36
89,0.0,0.0,40,0.0,36
90,0.0,0.0,40,0.0,36
91,0.0,0.0,40,0.0,36
92,0.0,0.0,40,0.0,36
93,0.0,0.0,40,0.0,37
94,0.0,0.0,40,0.0,37
95,0.0,0.0,40,0.0,37
96,0.0,0.0,40,0.0,37
97,0.0,0.0,40,0.0,37
98,0.0,0.0,40,0.0,37
99,0.0,0.0,40,0.0,37
100,0.0,0.0,40,0.0691,37
101,0.0,0.0,40,0.0691,37
102,0.0,0.0,40,0.0691,37
103,0.0,0.0,40,0.0691,37
104,0.0,0.0,40,0.0691,37
105,0.0,0.0,40,0.0691,37
106,0.0,0.0,40,0.0691,37
107,0.0,0.0,40,0.0691,37
108,0.0,0.0,40,0.0691,37
109,0.0,0.0,40,0.0691,37
110,0.0,0.0,40,0.0691,37
111,0.0,0.0,40,0.0691,37
112,0.0,0.0,40,0.0691,37
113,0.0,0.0,40,0.0691,37
114,0.0,0.0,40,0.0691,37
115,0.0,0.0,40,0.0691,37
116,0.0,0.0,40,0.0691,37
117,0.0,0.0,40,0.0691,37
118,0.0,0.0,40,0.0691,37
119,0.0,0.0,40,0.0691,37
120,0.0,0.0,40,0.0691,37
121,0.0,0.0,40,0.0691,37
122,0.0,0.0,40,0.0691,37
123,0.0,0.0,40,0.0691,37
124,0.0,0.0,40,0.0691,37
125,0.0,0.0,40,0.0691,38
126,0.0,0.0,40,0.0691,38
127,0.0,0.0,40,0.0691,38
128,0.0,0.0,40,0.0691,38
129,0.0,0.0,40,0.0691,38
130,0.0,0.0,40,0.0691,38
131,0.0,0.0,40,0.0691,38
132,0.0,0.0,40,0.0691,38
133,0.0,0.0,40,0.0691,38
134,0.0,0.0,40,0.0691,38
135,0.0,0.0,40,0.0691,38
136,0.0,0.0,40,0.0691,38
137,0.0,0.0,40,0.0691,38
138,0.0,0.0,40,0.0691,38
139,0.0,0.0,40,0.0691,38
140,0.0,0.0,40,0.0691,38
141,0.0,0.0,40,0.0691,38
142,0.0,0.0,40,0.0691,38
143,0.0,0.0,40,0.0691,38
144,0.0,0.0,40,0.0691,38
145,0.0,0.0,40,0.0691,38
146,0.0,0.0,40,0.0691,39
147,0.0,0.0,40,0.0691,39
148,0.0,0.0,40,0.0691,39
149,0.0,0.0,40,0.0691,39
150,0.0,0.0,40,0.0691,39
151,0.0,0.0,40,0.0691,39
152,0.0,0.0,40,0.0691,39
153,0.0,0.0,40,0.0691,39
154,0.0,0.0,40,0.0691,39
155,0.0,0.0,40,0.0691,39
156,0.0,0.0,40,0.0691,39
157,0.0,0.0,40,0.0691,39
158,0.0,0.0,40,0.0691,39
159,0.0,0.0,40,0.0691,40
160,0.0,0.0,40,0.0691,41
161,0.0,0.0,40,0.0691,42
162,0.0,0.0,40,0.0691,42
163,0.0,0.0,40,0.0691,44
164,0.0,0.0,40,0.0691,44
165,0.0,0.0,40,0.0691,46
166,0.0,0.0,40,0.0691,46
167,0.0,0.0,40,0.0691,46
168,0.0,0.0,40,0.0691,48
169,0.0,0.0,40,0.0691,49
170,0.0,0.0,40,0.0691,49
171,0.0,0.0,40,0.0691,49
172,0.0,0.0,40,0.0691,49
173,0.0,0.0,40,0.0691,50
174,0.0,0.0,40,0.0691,50
175,0.0,0.0,40,0.0691,50
176,0.0,0.0,40,0.0691,52
177,0.0,0.0,40,0.0691,53
178,0.0,0.0,40,0.0691,54
179,0.0,0.0,40,0.0691,54
180,0.0,0.0,40,0.0691,54
181,0.0,0.0,40,0.0691,54
182,0.0,0.0,40,0.0691,55
183,0.0,0.0,40,0.0691,55
184,0.0,0.0,40,0.0691,55
185,0.0,0.0,40,0.0691,55
186,0.0,0.0,40,0.0691,55
187,0.0,0.0,40,0.0691,55
188,0.0,0.0,40,0.0691,55
189,0.0,0.0,40,0.0691,55
190,0.0,0.0,40,0.0691,55
191,0.0,0.0,40,0.0691,55
192,0.0,0.0,40,0.0691,58
193,0.0,0.0,40,0.0691,59
194,0.0,0.0,40,0.0691,60
195,0.0,0.0,40,0.0691,60
196,0.0,0.0,40,0.0691,60
197,0.0,0.0,40,0.0691,62
198,0.0,0.0,40,0.0691,62
199,0.0,0.0,40,0.0691,62
200,0.0,0.0,40,0.0687,63
201,0.0,0.0,40,0.0687,63
202,0.0,0.0,40,0.0687,63
203,0.0,0.0,40,0.0687,63
204,0.0,0.0,40,0.0687,64
205,0.0,0.0,40,0.0687,65
206,0.0,0.0,40,0.0687,65
207,0.0,0.0,40,0.0687,66
208,0.0,0.0,40,0.0687,67
209,0.0,0.0,40,0.0687,67
210,0.0,0.0,40,0.0687,67
211,0.0,0.0,40,0.0687,68
212,0.0,0.0,40,0.0687,69
213,0.0,0.0,40,0.0687,71
214,0.0,0.0,40,0.0687,72
215,0.0,0.0,40,0.0687,74
216,0.0,0.0,40,0.0687,74
217,0.0,0.0,40,0.0687,76
218,0.0,0.0,40,0.0687,76
219,0.0,0.0,40,0.0687,76
220,0.0,0.0,40,0.0687,76
221,0.0,0.0,40,0.0687,76
222,0.0,0.0,40,0.0687,76
223,0.0,0.0,40,0.0687,76
224,0.0,0.0,40,0.0687,76
225,0.0,0.0,40,0.0687,76
226,0.0,0.0,40,0.0687,76
227,0.0,0.0,40,0.0687,77
228,0.0,0.0,40,0.0687,77
229,0.0,0.0,40,0.0687,77
230,0.0,0.0,40,0.0687,77
231,0.0,0.0,40,0.0687,77
232,0.0,0.0,40,0.0687,78
233,0.0,0.0,40,0.0687,78
234,0.0,0.0,40,0.0687,78
235,0.0,0.0,40,0.0687,78
236,0.0,0.0,40,0.0687,78
237,0.0,0.0,40,0.0687,78
238,0.0,0.0,40,0.0687,78
239,0.0,0.0,40,0.0687,78
240,0.0,0.0,40,0.0687,79
241,0.0,0.0,40,0.0687,79
242,0.0,0.0,40,0.0687,79
243,0.0,0.0,40,0.0687,80
244,0.0,0.0,40,0.0687,80
245,0.0,0.0,40,0.0687,80
246,0.0,0.0,40,0.0687,81
247,0.0,0.0,40,0.0687,81
248,0.0,0.0,40,0.0687,82
249,0.0,0.0,40,0.0687,83
250,0.0,0.0,40,0.0687,84
251,0.0,0.0,40,0.0687,84
252,0.0,0.0,40,0.0687,87
253,0.0,0.0,40,0.0687,87
254,0.0,0.0,40,0.0687,87
255,0.0,0.0,40,0.0687,88
256,0.0,0.0,40,0.0687,88
257,0.0,0.0,40,0.0687,88
258,0.0,0.0,40,0.0687,89
259,0.0,0.0,40,0.0687,89
260,0.0,0.0,40,0.0687,89
261,0.0,0.0,40,0.0687,90
262,0.0,0.0,40,0.0687,90
263,0.0,0.0,40,0.0687,91
264,0.0,0.0,40,0.0687,92
265,0.0,0.0,40,0.0687,92
266,0.0,0.0,40,0.0687,92
267,0.0,0.0,40,0.0687,92
268,0.0,0.0,40,0.0687,92
269,0.0,0.0,40,0.0687,92
270,0.0,0.0,40,0.0687,92
271,0.0,0.0,40,0.0687,93
272,0.0,0.0,40,0.0687,93
273,0.0,0.0,40,0.0687,93
274,0.0,0.0,40,0.0687,93
275,0.0,0.0,40,0.0687,93
276,0.0,0.0,40,0.0687,93
277,0.0,0.0,40,0.0687,93
278,0.0,0.0,40,0.0687,93
279,0.0,0.0,40,0.0687,94
280,0.0,0.0,40,0.0687,94
281,0.0,0.0,40,0.0687,94
282,0.0,0.0,40,0.0687,94
283,0.0,0.0,40,0.0687,94
284,0.0,0.0,40,0.0687,94
285,0.0,0.0,40,0.0687,94
286,0.0,0.0,40,0.0687,94
287,0.0,0.0,40,0.0687,94
288,0.0,0.0,40,0.0687,94
289,0.0,0.0,40,0.0687,94
290,0.0,0.0,40,0.0687,94
291,0.0,0.0,40,0.0687,94
292,0.0,0.0,40,0.0687,94
293,0.0,0.0,40,0.0687,94
294,0.0,0.0,40,0.0687,94
295,0.0,0.0,40,0.0687,94
296,0.0,0.0,40,0.0687,94
297,0.0,0.0,40,0.0687,94
298,0.0,0.0,40,0.0687,94
299,0.0,0.0,40,0.0687,94
300,0.0,0.0,40,0.0676,94
301,0.0,0.0,40,0.0676,95
302,0.0,0.0,40,0.0676,95
303,0.0,0.0,40,0.0676,95
304,0.0,0.0,40,0.0676,95
305,0.0,0.0,40,0.0676,95
306,0.0,0.0,40,0.0676,95
307,0.0,0.0,40,0.0676,95
308,0.0,0.0,40,0.0676,95
309,0.0,0.0,40,0.0676,96
310,0.0,0.0,40,0.0676,96
311,0.0,0.0,40,0.0676,96
312,0.0,0.0,40,0.0676,96
313,0.0,0.0,40,0.0676,96
314,0.0,0.0,40,0.0676,96
315,0.0,0.0,40,0.0676,97
316,0.0,0.0,40,0.0676,97
317,0.0,0.0,40,0.0676,97
318,0.0,0.0,40,0.0676,99
319,0.0,0.0,40,0.0676,100
320,0.0,0.0,40,0.0676,100
321,0.0,0.0,40,0.0676,100
322,0.0,0.0,40,0.0676,101
323,0.0,0.0,40,0.0676,102
324,0.0,0.0,40,0.0676,102
325,0.0,0.0,40,0.0676,102
326,0.0,0.0,40,0.0676,102
327,0.0,0.0,40,0.0676,104
328,0.0,0.0,40,0.0676,105
329,0.0,0.0,40,0.0676,105
330,0.0,0.0,40,0.0676,105
331,0.0,0.0,40,0.0676,106
332,0.0,0.0,40,0.0676,107
333,0.0,0.0,40,0.0676,107
334,0.0,0.0,40,0.0676,107
335,0.0,0.0,40,0.0676,107
336,0.0,0.0,40,0.0676,107
337,0.0,0.0,40,0.0676,107
338,0.0,0.0,40,0.0676,107
339,0.0,0.0,40,0.0676,107
340,0.0,0.0,40,0.0676,107
341,0.0,0.0,40,0.0676,109
342,0.0,0.0,40,0.0676,109
343,0.0,0.0,40,0.0676,109
344,0.0,0.0,40,0.0676,109
345,0.0,0.0,40,0.0676,110
346,0.0,0.0,40,0.0676,110
347,0.0,0.0,40,0.0676,110
348,0.0,0.0,40,0.0676,110
349,0.0,0.0,40,0.0676,111
350,0.0,0.0,40,0.0676,111
351,0.0,0.0,40,0.0676,111
352,0.0,0.0,40,0.0676,111
353,0.0,0.0,40,0.0676,111
354,0.0,0.0,40,0.0676,111
355,0.0,0.0,40,0.0676,111
356,0.0,0.0,40,0.0676,113
357,0.0,0.0,40,0.0676,114
358,0.0,0.0,40,0.0676,114
359,0.0,0.0,40,0.0676,114
360,0.0,0.0,40,0.0676,114
361,0.0,0.0,40,0.0676,114
362,0.0,0.0,40,0.0676,114
363,0.0,0.0,40,0.0676,114
364,0.0,0.0,40,0.0676,115
365,0.0,0.0,40,0.0676,115
366,0.0,0.0,40,0.0676,115
367,0.0,0.0,40,0.0676,116
368,0.0,0.0,40,0.0676,116
369,0.0,0.0,40,0.0676,117
370,0.0,0.0,40,0.0676,118
371,0.0,0.0,40,0.0676,118
372,0.0,0.0,40,0.0676,118
373,0.0,0.0,40,0.0676,119
374,0.0,0.0,40,0.0676,120
375,0.0,0.0,40,0.0676,120
376,0.0,0.0,40,0.0676,121
377,0.0,0.0,40,0.0676,121
378,0.0,0.0,40,0.0676,122
379,0.0,0.0,40,0.0676,125
380,0.0,0.0,40,0.0676,125
381,0.0,0.0,40,0.0676,125
382,0.0,0.0,40,0.0676,125
383,0.0,0.0,40,0.0676,126
384,0.0,0.0,40,0.0676,126
385,0.0,0.0,40,0.0676,126
386,0.0,0.0,40,0.0676,126
387,0.0,0.0,40,0.0676,127
388,0.0,0.0,40,0.0676,127
389,0.0,0.0,40,0.0676,128
390,0.0,0.0,40,0.0676,128
391,0.0,0.0,40,0.0676,128
392,0.0,0.0,40,0.0676,128
393,0.0,0.0,40,0.0676,128
394,0.0,0.0,40,0.0676,128
395,0.0,0.0,40,0.0676,128
396,0.0,0.0,40,0.0676,128
397,0.0,0.0,40,0.0676,128
398,0.0,0.0,40,0.0676,128
399,0.0,0.0,40,0.0676,128
400,0.0,0.0,40,0.0651,130
401,0.0,0.0,40,0.0651,131
402,0.0,0.0,40,0.0651,131
403,0.0,0.0,40,0.0651,132
404,0.0,0.0,40,0.0651,132
405,0.0,0.0,40,0.0651,133
406,0.0,0.0,40,0.0651,133
407,0.0,0.0,40,0.0651,135
408,0.0,0.0,40,0.0651,136
409,0.0,0.0,40,0.0651,136
410,0.0,0.0,40,0.0651,137
411,0.0,0.0,40,0.0651,137
412,0.0,0.0,40,0.0651,138
413,0.0,0.0,40,0.0651,138
414,0.0,0.0,40,0.0651,138
415,0.0,0.0,40,0.0651,138
416,0.0,0.0,40,0.0651,138
417,0.0,0.0,40,0.0651,138
418,0.0,0.0,40,0.0651,139
419,0.0,0.0,40,0.0651,139
420,0.0,0.0,40,0.0651,140
421,0.0,0.0,40,0.0651,141
422,0.0,0.0,40,0.0651,141
423,0.0,0.0,40,0.0651,142
424,0.0,0.0,40,0.0651,142
425,0.0,0.0,40,0.0651,144
426,0.0,0.0,40,0.0651,145
427,0.0,0.0,40,0.0651,147
428,0.0,0.0,40,0.0651,147
429,0.0,0.0,40,0.0651,147
430,0.0,0.0,40,0.0651,147
431,0.0,0.0,40,0.0651,147
432,0.0,0.0,40,0.0651,148
433,0.0,0.0,40,0.0651,149
434,0.0,0.0,40,0.0651,149
435,0.0,0.0,40,0.0651,149
436,0.0,0.0,40,0.0651,150
437,0.0,0.0,40,0.0651,150
438,0.0,0.0,40,0.0651,151
439,0.0,0.0,40,0.0651,151
440,0.0,0.0,40,0.0651,151
441,0.0,0.0,40,0.0651,153
442,0.0,0.0,40,0.0651,153
443,0.0,0.0,40,0.0651,153
444,0.0,0.0,40,0.0651,153
445,0.0,0.0,40,0.0651,154
446,0.0,0.0,40,0.0651,154
447,0.0,0.0,40,0.0651,154
448,0.0,0.0,40,0.0651,154
449,0.0,0.0,40,0.0651,155
450,0.0,0.0,40,0.0651,155
451,0.0,0.0,40,0.0651,155
452,0.0,0.0,40,0.0651,155
453,0.0,0.0,40,0.0651,155
454,0.0,0.0,40,0.0651,155
455,0.0,0.0,40,0.0651,155
456,0.0,0.0,40,0.0651,155
457,0.0,0.0,40,0.0651,155
458,0.0,0.0,40,0.0651,155
459,0.0,0.0,40,0.0651,155
460,0.0,0.0,40,0.0651,156
461,0.0,0.0,40,0.0651,156
462,0.0,0.0,40,0.0651,156
463,0.0,0.0,40,0.0651,156
464,0.0,0.0,40,0.0651,157
465,0.0,0.0,40,0.0651,157
466,0.0,0.0,40,0.0651,157
467,0.0,0.0,40,0.0651,157
468,0.0,0.0,40,0.0651,157
469,0.0,0.0,40,0.0651,157
470,0.0,0.0,40,0.0651,157
471,0.0,0.0,40,0.0651,157
472,0.0,0.0,40,0.0651,157
473,0.0,0.0,40,0.0651,157
474,0.0,0.0,40,0.0651,158
475,0.0,0.0,40,0.0651,158
476,0.0,0.0,40,0.0651,158
477,0.0,0.0,40,0.0651,158
478,0.0,0.0,40,0.0651,158
479,0.0,0.0,40,0.0651,158
480,0.0,0.0,40,0.0651,158
481,0.0,0.0,40,0.0651,158
482,0.0,0.0,40,0.0651,158
483,0.0,0.0,40,0.0651,159
484,0.0,0.0,40,0.0651,159
485,0.0,0.0,40,0.0651,159
486,0.0,0.0,40,0.0651,159
487,0.0,0.0,40,0.0651,159
488,0.0,0.0,40,0.0651,159
489,0.0,0.0,40,0.0651,159
490,0.0,0.0,40,0.0651,159
491,0.0,0.0,40,0.0651,159
492,0.0,0.0,40,0.0651,160
493,0.0,0.0,40,0.0651,160
494,0.0,0.0,40,0.0651,160
495,0.0,0.0,40,0.0651,160
496,0.0,0.0,40,0.0651,160
497,0.0,0.0,40,0.0651,160
498,0.0,0.0,40,0.0651,160
499,0.0,0.0,40,0.0651,161
500,0.0,0.0,40,0.07,161
501,0.0,0.0,40,0.07,161
502,0.0,0.0,40,0.07,161
503,0.0,0.0,40,0.07,162
504,0.0,0.0,40,0.07,162
505,0.0,0.0,40,0.07,163
506,0.0,0.0,40,0.07,165
507,0.0,0.0,40,0.07,165
508,0.0,0.0,40,0.07,165
509,0.0,0.0,40,0.07,166
510,0.0,0.0,40,0.07,166
511,0.0,0.0,40,0.07,166
512,0.0,0.0,40,0.07,166
513,0.0,0.0,40,0.07,166
514,0.0,0.0,40,0.07,166
515,0.0,0.0,40,0.07,166
516,0.0,0.0,40,0.07,166
517,0.0,0.0,40,0.07,166
518,0.0,0.0,40,0.07,167
519,0.0,0.0,40,0.07,167
520,0.0,0.0,40,0.07,168
521,0.0,0.0,40,0.07,168
522,0.0,0.0,40,0.07,168
523,0.0,0.0,40,0.07,168
