generation,gac_genome_mean,gac_genome_median,gac_linkage_mean,epc_lz_mean,epc_lz_p90,epc_diversity_mean,nnd_mean,nnd_front_size
500,18.14,18.00,17.90,0.582,0.596,0.312,0.000,0
1000,18.29,19.00,17.91,0.639,0.667,0.334,0.000,40
1500,18.07,18.00,17.76,0.682,0.706,0.338,0.000,0
2000,19.87,20.00,19.60,0.683,0.702,0.306,0.840,45
2500,19.34,19.00,19.09,0.562,0.588,0.264,0.000,0
3000,19.89,20.00,19.70,0.592,0.603,0.306,0.782,52
3500,19.21,19.00,18.95,0.666,0.667,0.270,0.000,0
4000,20.16,20.00,19.92,0.610,0.633,0.300,0.811,41
4500,19.18,19.00,18.83,0.619,0.667,0.318,0.000,0
5000,21.89,22.00,21.58,0.526,0.576,0.278,1.103,48
