Generation,PopSize,NumSpecies,AvgNodes,AvgConns,Action_M,Action_S,Action_I,S_mean,EPC,LZ
1000,100,2,22.04,35.57,100,0,0,0.0,1.0,0.085
2000,100,1,25.03,42.12,100,0,0,0.0,1.0,0.045
3000,100,1,26.05,47.19,100,0,0,0.0,1.0,0.02
4000,100,1,26.02,47.12,100,0,0,0.0,1.0,0.02
5000,92,1,27.0,50.0,92,0,0,0.0,1.0,0.035
6000,92,1,27.0,50.0,92,0,0,0.0,1.0,0.01
7000,88,1,27.0,50.0,88,0,0,0.0,1.0,0.025
8000,94,1,27.0,50.0,94,0,0,0.0,1.0,0.035
9000,92,1,27.0,50.0,92,0,0,0.0,1.0,0.01
10000,89,1,27.0,50.0,89,0,0,0.0,1.0,0.025
11000,91,1,27.0,50.0,91,0,0,0.0,1.0,0.04
12000,93,1,27.0,50.0,93,0,0,0.0,1.0,0.04
13000,89,1,27.0,50.0,89,0,0,0.0,1.0,0.01
14000,91,1,27.0,50.0,91,0,0,0.0,1.0,0.02
15000,90,1,27.0,50.0,90,0,0,0.0,1.0,0.025
16000,95,1,27.0,50.0,95,0,0,0.0,1.0,0.025
17000,92,1,27.0,50.0,92,0,0,0.0,1.0,0.02
18000,89,1,27.0,50.0,89,0,0,0.0,1.0,0.025
19000,92,1,27.0,50.0,92,0,0,0.0,1.0,0.025
20000,96,1,27.0,50.0,96,0,0,0.0,1.0,0.035
21000,97,1,27.0,50.0,97,0,0,0.0,1.0,0.04
22000,93,1,27.0,50.0,93,0,0,0.0,1.0,0.05
23000,91,1,27.0,50.0,91,0,0,0.0,1.0,0.03
24000,94,1,27.0,50.0,94,0,0,0.0,1.0,0.03
25000,93,1,27.0,50.0,93,0,0,0.0,1.0,0.035
