Generation,PopSize,NumSpecies,AvgNodes,AvgConns,Action_M,Action_S,Action_I,S_mean,EPC,LZ
1000,100,2,21.04,27.51,0,0,100,0.0,1.0,0.12
2000,100,1,25.09,37.23,100,0,0,0.0,1.0,0.04
3000,100,1,28.04,43.2,100,0,0,0.0,1.0,0.025
4000,93,1,30.0,50.0,93,0,0,0.0,1.0,0.045
5000,92,1,30.0,50.0,92,0,0,0.0,1.0,0.02
6000,89,1,30.0,50.0,89,0,0,0.0,1.0,0.01
7000,91,1,30.0,50.0,91,0,0,0.0,1.0,0.024999999999999998
8000,94,1,30.0,50.0,94,0,0,0.0,1.0,0.03
9000,93,1,30.0,50.0,93,0,0,0.0,1.0,0.04
10000,91,1,30.0,50.0,91,0,0,0.0,1.0,0.045
11000,94,1,30.0,50.0,94,0,0,0.0,1.0,0.045
12000,91,1,30.0,50.0,91,0,0,0.0,1.0,0.024999999999999998
13000,93,1,30.0,50.0,93,0,0,0.0,1.0,0.045
14000,93,1,30.0,50.0,93,0,0,0.0,1.0,0.035
15000,93,1,30.0,50.0,93,0,0,0.0,1.0,0.025
16000,94,1,30.0,50.0,94,0,0,0.0,1.0,0.02
17000,91,1,30.0,50.0,91,0,0,0.0,1.0,0.035
18000,95,1,30.0,50.0,95,0,0,0.0,1.0,0.035
19000,95,1,30.0,50.0,95,0,0,0.0,1.0,0.025
20000,94,1,30.0,50.0,94,0,0,0.0,1.0,0.02
21000,96,1,30.0,50.0,96,0,0,0.0,1.0,0.02
22000,89,1,30.0,50.0,89,0,0,0.0,1.0,0.025
