Generation,PopSize,NumSpecies,AvgNodes,AvgConns,Action_M,Action_S,Action_I,S_mean,EPC,LZ
1000,100,1,29.15,43.58,100,0,0,0.0,1.0,0.01
2000,94,1,32.0,50.0,94,0,0,0.0,1.0,0.01
3000,91,1,32.0,50.0,91,0,0,0.0,1.0,0.01
4000,93,1,32.0,50.0,93,0,0,0.0,1.0,0.025
5000,93,1,32.0,50.0,93,0,0,0.0,1.0,0.01
6000,92,1,32.0,50.0,92,0,0,0.0,1.0,0.025
7000,91,1,32.0,50.0,91,0,0,0.0,1.0,0.01
8000,90,1,32.0,50.0,90,0,0,0.0,1.0,0.01
9000,89,1,32.0,50.0,89,0,0,0.0,1.0,0.025
10000,90,1,32.0,50.0,90,0,0,0.0,1.0,0.01
11000,90,1,32.0,50.0,90,0,0,0.0,1.0,0.01
12000,92,1,32.0,50.0,92,0,0,0.0,1.0,0.02
13000,91,1,32.0,50.0,91,0,0,0.0,1.0,0.01
14000,92,1,32.0,50.0,92,0,0,0.0,1.0,0.01
15000,94,1,32.0,50.0,94,0,0,0.0,1.0,0.01
16000,87,1,32.0,50.0,87,0,0,0.0,1.0,0.03
17000,94,1,32.0,50.0,94,0,0,0.0,1.0,0.01
18000,91,1,32.0,50.0,91,0,0,0.0,1.0,0.01
19000,97,1,32.0,50.0,97,0,0,0.0,1.0,0.014999999999999998
20000,89,1,32.0,50.0,89,0,0,0.0,1.0,0.015
21000,92,1,32.0,50.0,92,0,0,0.0,1.0,0.01
22000,96,1,32.0,50.0,96,0,0,0.0,1.0,0.01
23000,89,1,32.0,50.0,89,0,0,0.0,1.0,0.015
