Generation,PopSize,NumSpecies,AvgNodes,AvgConns,Action_M,Action_S,Action_I,S_mean,EPC,LZ
500,100,1,22.04,27.22,100,0,0,0.1049695834517479,1.0,0.024999999999999994
1000,100,1,26.03,37.09,100,0,0,0.08521552383899689,1.0,0.06
1500,100,1,27.05,42.44,100,0,0,0.14149685204029083,1.0,0.08500000000000002
2000,100,1,27.06,42.2,100,0,0,0.11388599872589111,1.0,0.075
2500,100,1,28.06,45.2,100,0,0,0.07020441442728043,1.0,0.03
3000,100,1,28.04,45.21,100,0,0,0.07378917932510376,1.0,0.024999999999999994
3500,100,1,28.01,45.17,100,0,0,0.06197204068303108,1.0,0.024999999999999994
4000,100,1,28.04,45.14,100,0,0,0.058774206787347794,1.0,0.055
4500,97,1,28.0,49.06185567010309,97,0,0,0.02680882252752781,1.0,0.049999999999999996
5000,98,1,28.0,49.05102040816327,98,0,0,0.05984244868159294,1.0,0.06499999999999999
