Generation,PopSize,NumSpecies,AvgNodes,AvgConns,Action_M,Action_S,Action_I,S_mean,EPC,LZ
500,100,1,19.09,26.21,0,0,100,0.013345001265406609,1.0,0.07999999999999999
1000,100,2,22.04,35.57,100,0,0,0.11512187868356705,1.0,0.08500000000000002
1500,100,1,25.02,42.17,100,0,0,0.05631251260638237,1.0,0.075
2000,100,1,25.03,42.12,100,0,0,0.04576053470373154,1.0,0.04499999999999999
2500,100,1,25.02,42.16,100,0,0,0.044331278651952744,1.0,0.024999999999999994
3000,100,1,26.05,47.19,100,0,0,0.04728391021490097,1.0,0.019999999999999997
3500,100,1,26.01,47.21,100,0,0,0.02825728803873062,1.0,0.039999999999999994
4000,100,1,26.02,47.12,100,0,0,0.022927701473236084,1.0,0.019999999999999997
4500,91,1,27.0,50.0,91,0,0,0.03387324512004852,1.0,0.024999999999999994
5000,92,1,27.0,50.0,92,0,0,0.02986552193760872,1.0,0.03500000000000002
