Generation,PopSize,NumSpecies,AvgNodes,AvgConns,Action_M,Action_S,Action_I,S_mean,EPC,LZ
500,100,1,24.01,33.1,100,0,0,0.0016629176679998636,1.0,0.019999999999999997
1000,100,1,29.15,43.58,100,0,0,0.00098587351385504,1.0,0.009999999999999998
1500,91,1,32.0,50.0,91,0,0,2.948269406388704e-10,1.0,0.009999999999999998
2000,94,1,32.0,50.0,94,0,0,8.816838078119427e-17,1.0,0.01
2500,91,1,32.0,50.0,91,0,0,2.6366879007498046e-23,1.0,0.009999999999999998
3000,91,1,32.0,50.0,91,0,0,7.885052100344078e-30,1.0,0.009999999999999998
3500,93,1,32.0,50.0,93,0,0,2.3580361791436837e-36,1.0,0.009999999999999998
4000,93,1,32.0,50.0,93,0,0,6.950440383051093e-43,1.0,0.02499999999999999
4500,95,1,32.0,50.0,95,0,0,2.3261554507791963e-43,1.0,0.02
5000,93,1,32.0,50.0,93,0,0,2.3261554507791963e-43,1.0,0.009999999999999998
