Generation,PopSize,NumSpecies,AvgNodes,AvgConns,Action_M,Action_S,Action_I,S_mean,EPC,LZ
500,100,3,19.53,28.91,100,0,0,0.0,1.0,0.065
1000,100,1,20.12,31.28,0,0,100,0.0,1.0,0.065
1500,100,1,24.03,40.12,100,0,0,0.0,1.0,0.065
2000,100,1,25.04,42.18,100,0,0,0.0,1.0,0.039999999999999994
2500,100,1,28.02,48.06,100,0,0,0.0,1.0,0.024999999999999994
3000,100,1,28.04,48.11,100,0,0,0.0,1.0,0.03500000000000002
3500,100,1,28.05,48.2,100,0,0,0.0,1.0,0.03
4000,100,1,28.01,48.09,100,0,0,0.0,1.0,0.024999999999999994
4500,100,1,28.07,48.24,100,0,0,0.0,1.0,0.03500000000000002
5000,94,1,29.0,50.0,94,0,0,0.0,1.0,0.044999999999999984
