Generation,PopSize,NumSpecies,AvgNodes,AvgConns,Action_M,Action_S,Action_I,S_mean,EPC,LZ
500,100,1,22.02,26.09,100,0,0,0.0,1.0,0.075
1000,100,1,28.04,40.19,100,0,0,0.0,1.0,0.08999999999999998
1500,100,1,28.03,40.18,0,0,100,0.0,1.0,0.09999999999999998
2000,100,1,29.03,44.3,100,0,0,0.0,1.0,0.039999999999999994
2500,100,1,30.06,47.21,100,0,0,0.0,1.0,0.04499999999999999
3000,100,1,30.06,47.14,0,0,100,0.0,1.0,0.055
3500,100,1,30.07,47.29,100,0,0,0.0,1.0,0.039999999999999994
4000,96,1,31.0,49.072916666666664,96,0,0,0.0,1.0,0.03000000000000001
4500,98,1,31.0,49.04081632653061,98,0,0,0.0,1.0,0.024999999999999998
5000,96,1,31.0,49.0625,96,0,0,0.0,1.0,0.009999999999999998
