gen,condition,seed,avg_lz,std_lz,avg_nodes,avg_edges,num_species
50,real,123,0.121,0.003,12.05,3.95,6
100,real,123,0.121,0.003,13.0,7.0,4
150,real,123,0.12,0.0,13.1,7.5,4
200,real,123,0.121,0.003,13.0,10.0,3
250,real,123,0.1215,0.003571,13.0,10.8,3
300,real,123,0.121,0.004359,13.15,11.35,3
350,real,123,0.124,0.005831,14.0,13.4,3
400,real,123,0.123,0.00781,16.0,17.0,3
450,real,123,0.123,0.007141,17.05,20.9,3
500,real,123,0.123,0.007141,17.05,20.1,2
