gen,nodes,edges,lz
0,12.0,2.0,0.0
1000,14.0,24.0,0.5650000000000001
2000,27.0,58.15,0.5550000000000002
3000,32.0,79.0,0.5500000000000002
4000,37.0,98.05,0.6175
5000,44.3,122.6,0.5750000000000001
6000,56.05,165.3,0.5625000000000002
7000,66.0,201.55,0.5725000000000001
8000,81.7,250.55,0.5825000000000001
9000,89.1,280.3,0.5825
10000,98.9,315.8,0.5625000000000002
