gen,condition,seed,avg_lz,std_lz,avg_nodes,avg_edges,num_species
50,sham,42,0.12,0.0,12.0,3.1,4
100,sham,42,0.12,0.0,12.65,4.35,4
150,sham,42,0.12,0.0,14.05,8.1,3
200,sham,42,0.1215,0.006538,15.65,13.5,2
250,sham,42,0.12,0.0,16.1,15.2,3
300,sham,42,0.122,0.006,18.05,22.05,3
350,sham,42,0.1245,0.008047,19.0,26.9,2
400,sham,42,0.12,0.0,19.05,26.1,2
450,sham,42,0.1215,0.003571,19.0,26.05,3
500,sham,42,0.12,0.0,21.2,32.4,3
