gen,condition,seed,avg_lz,std_lz,avg_nodes,avg_edges,num_species
50,sham,123,0.121,0.004359,13.0,4.85,7
100,sham,123,0.121,0.004359,13.0,5.0,3
150,sham,123,0.1205,0.002179,13.55,6.65,6
200,sham,123,0.122,0.006,13.1,6.3,4
250,sham,123,0.127,0.010536,13.0,8.0,2
300,sham,123,0.1215,0.00477,13.0,8.25,2
350,sham,123,0.1515,0.050821,13.05,8.35,3
400,sham,123,0.1265,0.010618,15.65,13.8,5
450,sham,123,0.1225,0.006225,16.0,14.5,3
500,sham,123,0.1205,0.002179,16.25,16.55,4
