gen,nodes,edges,lz
0,12.0,2.0,0.0
1000,28.0,49.45,0.5625000000000001
2000,42.0,86.0,0.5550000000000002
3000,45.4,106.8,0.5500000000000002
4000,55.2,145.5,0.5575000000000002
5000,61.05,173.25,0.5500000000000002
6000,70.05,209.15,0.5750000000000002
7000,80.0,242.1,0.5500000000000002
8000,89.25,279.6,0.5500000000000002
9000,108.15,336.4,0.5525000000000002
10000,123.25,385.5,0.5500000000000002
