generation,gac,epc,nnd
50,29.05,15.15374940679522,
100,26.434782608695652,15.242697188972997,
150,26.652173913043477,16.07728222078968,
200,27.0,17.378183998191272,
250,26.296296296296298,17.746825164748753,
300,25.586206896551722,18.61378113008383,
350,26.566666666666666,19.089173517099837,
400,26.71875,19.994635118538486,
450,25.78787878787879,20.60866886401772,
500,25.852941176470587,21.1107110668582,
550,26.6,21.442333706940577,
600,26.25,22.066950298657158,
650,26.18918918918919,22.877534167530346,
700,26.0,23.59065774676396,
750,25.48780487804878,24.24146757579205,
800,26.186046511627907,24.925518092089554,
850,26.08888888888889,25.659773520987105,
900,26.066666666666666,25.78338152878365,
950,27.319148936170212,25.911580846169148,
1000,27.404255319148938,25.99382031199738,
1050,28.367346938775512,26.725297599319912,
1100,28.3265306122449,26.830523361060674,
1150,28.84,27.23783755360988,
1200,29.470588235294116,27.57272350872998,
1250,30.076923076923077,27.92136151094692,
1300,30.14814814814815,28.23804914982688,
1350,30.055555555555557,28.303296307681762,
1400,30.0,28.31173900673394,
1450,30.0,28.362615564159327,
1500,30.642857142857142,29.01272701439441,
1550,30.92982456140351,29.34058008004197,
1600,31.396551724137932,29.729003649489478,
1650,31.396551724137932,29.73064765974579,
1700,31.271186440677965,30.145366272573032,
1750,30.65573770491803,30.862779533914384,
1800,30.672131147540984,30.94628855741488,
1850,30.737704918032787,30.990215492275713,
1900,31.20967741935484,31.49459983014313,
1950,31.476190476190474,31.851124805376205,
2000,31.03125,32.22082703328563,
2050,31.03125,32.258747360996736,
2100,30.96969696969697,33.06789155441376,
2150,31.514705882352942,33.693942061339364,
2200,31.608695652173914,33.96249900810515,
2250,31.666666666666668,34.01419364256705,
2300,31.63768115942029,34.047426395350925,
2350,31.652173913043477,34.05800138128077,
2400,31.666666666666668,34.06782112773742,
2450,33.083333333333336,35.2838109826654,
2500,32.726027397260275,35.6146007854302,
2550,32.54794520547945,35.63844185284898,
2600,32.61643835616438,35.677575339307175,
2650,33.42666666666667,35.983197801920674,
2700,33.38157894736842,36.24519238636869,
2750,33.3421052631579,36.26146668054647,
2800,33.8051948051948,36.61296337848277,
2850,33.84415584415584,36.69372699822959,
2900,33.76923076923077,36.980713435102224,
2950,34.151898734177216,37.41262847751456,
3000,34.475,37.43403298468856,
3050,34.4625,37.50012847761039,
3100,34.84146341463415,38.15776257010706,
3150,34.853658536585364,38.18978362342475,
3200,34.97560975609756,38.19025065521198,
3250,34.9390243902439,38.216246933539225,
