gen,s_mean,avg_fitness,agent_count,avg_lz,archive_size
0,0.0,0.0,40,0.0,0
1,0.0,0.0,40,0.0,12
2,0.0,0.0,40,0.0,12
3,0.0,0.0,40,0.0,12
4,0.0,0.0,40,0.0,12
5,0.0,0.0,40,0.0,12
6,0.0,0.0,40,0.0,13
7,0.0,0.0,40,0.0,14
8,0.0,0.0,40,0.0,16
9,0.0,0.0,40,0.0,16
10,0.0,0.0,40,0.0,16
11,0.0,0.0,40,0.0,16
12,0.0,0.0,40,0.0,16
13,0.0,0.0,40,0.0,16
14,0.0,0.0,40,0.0,16
15,0.0,0.0,40,0.0,16
16,0.0,0.0,40,0.0,17
17,0.0,0.0,40,0.0,17
18,0.0,0.0,40,0.0,17
19,0.0,0.0,40,0.0,17
20,0.0,0.0,40,0.0,17
21,0.0,0.0,40,0.0,17
22,0.0,0.0,40,0.0,17
23,0.0,0.0,40,0.0,17
24,0.0,0.0,40,0.0,17
25,0.0,0.0,40,0.0,17
26,0.0,0.0,40,0.0,17
27,0.0,0.0,40,0.0,18
28,0.0,0.0,40,0.0,19
29,0.0,0.0,40,0.0,20
30,0.0,0.0,40,0.0,21
31,0.0,0.0,40,0.0,23
32,0.0,0.0,40,0.0,23
33,0.0,0.0,40,0.0,24
34,0.0,0.0,40,0.0,25
35,0.0,0.0,40,0.0,25
36,0.0,0.0,40,0.0,25
37,0.0,0.0,40,0.0,25
38,0.0,0.0,40,0.0,26
39,0.0,0.0,40,0.0,26
40,0.0,0.0,40,0.0,31
41,0.0,0.0,40,0.0,33
42,0.0,0.0,40,0.0,33
43,0.0,0.0,40,0.0,33
44,0.0,0.0,40,0.0,33
45,0.0,0.0,40,0.0,33
46,0.0,0.0,40,0.0,33
47,0.0,0.0,40,0.0,33
48,0.0,0.0,40,0.0,33
49,0.0,0.0,40,0.0,35
50,0.0,0.0,40,0.0,36
51,0.0,0.0,40,0.0,36
52,0.0,0.0,40,0.0,36
53,0.0,0.0,40,0.0,36
54,0.0,0.0,40,0.0,36
55,0.0,0.0,40,0.0,36
56,0.0,0.0,40,0.0,36
57,0.0,0.0,40,0.0,36
58,0.0,0.0,40,0.0,36
59,0.0,0.0,40,0.0,36
60,0.0,0.0,40,0.0,36
61,0.0,0.0,40,0.0,36
62,0.0,0.0,40,0.0,36
63,0.0,0.0,40,0.0,36
64,0.0,0.0,40,0.0,36
65,0.0,0.0,40,0.0,36
66,0.0,0.0,40,0.0,36
67,0.0,0.0,40,0.0,36
68,0.0,0.0,40,0.0,36
69,0.0,0.0,40,0.0,36
70,0.0,0.0,40,0.0,36
71,0.0,0.0,40,0.0,36
72,0.0,0.0,40,0.0,36
73,0.0,0.0,40,0.0,36
74,0.0,0.0,40,0.0,36
75,0.0,0.0,40,0.0,37
76,0.0,0.0,40,0.0,37
77,0.0,0.0,40,0.0,37
78,0.0,0.0,40,0.0,37
79,0.0,0.0,40,0.0,37
80,0.0,0.0,40,0.0,37
81,0.0,0.0,40,0.0,37
82,0.0,0.0,40,0.0,37
83,0.0,0.0,40,0.0,37
84,0.0,0.0,40,0.0,37
85,0.0,0.0,40,0.0,37
86,0.0,0.0,40,0.0,37
87,0.0,0.0,40,0.0,37
88,0.0,0.0,40,0.0,37
89,0.0,0.0,40,0.0,37
90,0.0,0.0,40,0.0,37
91,0.0,0.0,40,0.0,37
92,0.0,0.0,40,0.0,37
93,0.0,0.0,40,0.0,38
94,0.0,0.0,40,0.0,38
95,0.0,0.0,40,0.0,38
96,0.0,0.0,40,0.0,38
97,0.0,0.0,40,0.0,38
98,0.0,0.0,40,0.0,38
99,0.0,0.0,40,0.0,38
100,0.0,0.0,40,0.069,38
101,0.0,0.0,40,0.069,40
