generation,gac,mean_novelty,archive_size
0,9.6,4.288868288547487,5
1,9.7,4.203014332261687,10
2,10.24,2.813976608464106,15
3,9.58,2.3021205652858923,20
4,8.62,1.8037427603478207,25
5,8.98,1.0496935180823987,30
6,10.14,0.9474109466355894,35
7,9.78,0.5807433388843404,40
8,7.5,0.5789073013200541,45
9,6.72,0.4899961351877043,50
10,7.48,0.5012021906547344,55
11,7.6,0.5017775072869779,60
12,6.52,0.49454169283236404,65
13,6.82,0.4860699669939098,70
14,6.92,0.5190205438923978,75
15,6.88,0.5336929095962847,80
16,7.1,0.5621813235817534,85
17,7.42,0.5239596383359367,90
18,7.4,0.4887031494637285,95
19,6.98,0.5042713257153222,100
20,6.52,0.5073067814370869,105
21,7.2,0.5318682721903931,110
22,6.82,0.5737858162815707,115
23,6.86,0.6035730219632791,120
24,6.14,0.6388683267596693,125
25,6.5,0.5802329596622714,130
26,7.26,0.5374852212772869,135
27,6.82,0.5709573368357485,140
28,6.94,0.5249811592043552,145
29,7.22,0.5264992409319018,150
30,8.38,0.5196741689807083,155
31,7.74,0.5166477604343526,160
32,7.54,0.5019976472442971,165
33,7.72,0.5221696675001022,170
34,7.28,0.5343180264443713,175
35,7.38,0.47966306832788363,180
36,7.4,0.524024910179174,185
37,7.36,0.5125302855857187,190
38,7.26,0.5175722655627051,195
39,8.02,0.5311935396514761,200
40,7.94,0.508372857371066,200
41,8.2,0.5367617709044592,200
42,8.4,0.4912845942317907,200
43,7.5,0.5001824502502846,200
44,8.16,0.5251917878987594,200
45,7.22,0.5323488086265558,200
46,7.32,0.5476037784416944,200
47,7.9,0.5481719742156789,200
48,7.64,0.5170727726952835,200
49,7.76,0.5097267346227443,200
50,8.64,0.4997324942913195,200
51,7.24,0.48536805456183096,200
52,7.62,0.49502320104626757,200
53,7.64,0.519168574491244,200
54,8.44,0.5078049938994278,200
55,8.08,0.511931218822302,200
56,8.44,0.5212613226456018,200
57,7.72,0.53798186793447,200
58,9.6,0.5259787009545854,200
59,8.7,0.5157281322699744,200
60,8.24,0.495926688328451,200
61,8.08,0.49643875057367765,200
62,8.24,0.4880074214300835,200
63,8.86,0.47195686605392434,200
64,8.26,0.44042807290416086,200
65,8.4,0.46446381667291353,200
66,9.46,0.4963828721338714,200
67,8.78,0.4842202288184534,200
68,10.12,0.4715922613736918,200
69,9.16,0.48319135149123993,200
70,10.2,0.4784305207251891,200
71,7.9,0.47433346240707536,200
72,9.48,0.48272635314467593,200
73,10.0,0.47319845547343503,200
74,7.4,0.4931573134344536,200
75,7.76,0.5175532971135088,200
76,8.24,0.4959176391598582,200
77,7.7,0.5376588592362374,200
78,8.58,0.5423324226117654,200
79,6.98,0.4894223535634621,200
80,7.82,0.4790656756573125,200
81,7.08,0.47180561195041276,200
82,6.5,0.535884095951056,200
83,6.76,0.5514465596566283,200
84,6.2,0.5877386950867037,200
85,6.44,0.5643259441199715,200
86,6.46,0.5754569395882231,200
87,7.08,0.5436615502994784,200
88,6.82,0.5853124951792346,200
89,7.54,0.6088954810736069,200
90,7.72,0.5674344581054331,200
91,8.34,0.5864004557608122,200
92,8.36,0.5616367825440931,200
93,7.9,0.5676082632844551,200
94,8.78,0.5982549602473256,200
95,8.38,0.5909985066879297,200
96,8.56,0.5575068778044865,200
97,9.28,0.5319926658229186,200
